format,3
memo
memo
-3.5, -2.5, 3.5, 1.5
-3.5, -2.5, 4.0, 2.5
-3.5, -2.5, 4.5, 5.333333333333333
-3.5, -2.5, 5.0, 4.75
-3.5, -2.0, 0.0, 0.0
-3.5, -2.0, 0.5, 0.0
-3.5, -2.0, 1.0, 0.0
-3.5, -2.0, 1.5, 0.0
-3.5, -2.0, 2.0, 0.0
-3.5, -2.0, 2.5, 0.0
-3.5, -2.0, 3.0, 0.8333333333333333
-3.5, -2.0, 3.5, 1.5
-3.5, -2.0, 4.0, 2.5
-3.5, -2.0, 4.5, 5.333333333333333
-3.5, -2.0, 5.0, 4.75
-3.5, -1.5, 0.0, 0.0
-3.5, -1.5, 0.5, 0.0
-3.5, -1.5, 1.0, 0.0
-3.5, -1.5, 1.5, 0.0
-3.5, -1.5, 2.0, 0.0
-3.5, -1.5, 2.5, 0.0
-3.5, -1.5, 3.0, 0.8333333333333333
-3.5, -1.5, 3.5, 1.5
-3.5, -1.5, 4.0, 2.5
-3.5, -1.5, 4.5, 5.333333333333333
-3.5, -1.5, 5.0, 4.75
-3.5, -1.0, 0.0, 0.0
-3.5, -1.0, 0.5, 0.0
-3.5, -1.0, 1.0, 0.0
-3.5, -1.0, 1.5, 0.0
-3.5, -1.0, 2.0, 0.0
-3.5, -1.0, 2.5, 0.0
-3.5, -1.0, 3.0, 0.8333333333333333
-3.5, -1.0, 3.5, 1.5
-3.5, -1.0, 4.0, 2.5
-3.5, -1.0, 4.5, 5.333333333333333
-3.5, -1.0, 5.0, 4.416666666666667
-3.5, -0.5, 0.0, 0.0
-3.5, -0.5, 0.5, 0.0
-3.5, -0.5, 1.0, 0.0
-3.5, -0.5, 1.5, 0.0
-3.5, -0.5, 2.0, 0.0
-3.5, -0.5, 2.5, 0.0
-3.5, -0.5, 3.0, 0.75
-3.5, -0.5, 3.5, 1.3333333333333333
-3.5, -0.5, 4.0, 2.333333333333333
-3.5, -0.5, 4.5, 4.583333333333334
-3.5, -0.5, 5.0, 3.2111111111111112
-3.5, 0.0, 0.0, 0.0
-3.5, 0.0, 0.5, 0.0
-3.5, 0.0, 1.0, 0.0
-3.5, 0.0, 1.5, 0.0
-3.5, 0.0, 2.0, 0.0
-3.5, 0.0, 2.5, 0.0
-3.5, 0.0, 3.0, 0.47619047619047616
-3.5, 0.0, 3.5, 1.0333333333333332
-3.5, 0.0, 4.0, 2.0
-3.5, 0.0, 4.5, 3.061111111111111
-3.5, 0.0, 5.0, 1.5
-3.0, -5.0, 0.0, 0.0
-3.0, -5.0, 0.5, 0.0
-3.0, -5.0, 1.0, 0.0
-3.0, -5.0, 1.5, 0.0
-3.0, -5.0, 2.0, 0.0
-3.0, -5.0, 2.5, 2.833333333333333
-3.0, -5.0, 3.0, 3.0
-3.0, -5.0, 3.5, 5.833333333333333
-3.0, -5.0, 4.0, 5.833333333333333
-3.0, -5.0, 4.5, 11.083333333333334
-3.0, -5.0, 5.0, 9.333333333333332
